case_id,case_count,source,split,source_id_or_rule,coverage,ground_truth,license,distribution,landing_or_source,download_url,sha256,status
OI-01,1,Open Images V7,validation,dfc9432963dc4c06,多人;复杂背景;遮挡;服装;20对象候选,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/mwf2005/9776579232,https://s3.amazonaws.com/open-images-dataset/validation/dfc9432963dc4c06.jpg,fd0619a5265f8d38c8587eb4db43618159433468e42b71137850c299f9b733ee,selection_locked
OI-02,1,Open Images V7,validation,021fffa3d66f9b77,人物;婚纱;半透明边缘;服装;多人,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/xlordashx/7365351870,https://s3.amazonaws.com/open-images-dataset/validation/021fffa3d66f9b77.jpg,b7a15375ab3576035f61d826d238f1bf84e211cf687c1c7170f06fa00e17d935,selection_locked
OI-03,1,Open Images V7,validation,7c888d0d5fd5b56e,人物;服装;遮挡;复杂背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/tupwanders/6443538307,https://s3.amazonaws.com/open-images-dataset/validation/7c888d0d5fd5b56e.jpg,a5c0501ddb2b8236ec85b8cd3681b91468bd5565a2f7fafbd3495be43f199e45,selection_locked
OI-04,1,Open Images V7,validation,6426af1ed12a3b32,多人;西装;遮挡;复杂背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/usfsregion5/15235351687,https://s3.amazonaws.com/open-images-dataset/validation/6426af1ed12a3b32.jpg,195263d1c1e1e22ff37ac8460642c733f73bebb6ef12f946e8abfb0d08080d3f,selection_locked
OI-05,1,Open Images V7,validation,c35ddcc2fa704eec,人物;裙装;大主体;换色,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/108031266@N05/15689588398,https://s3.amazonaws.com/open-images-dataset/validation/c35ddcc2fa704eec.jpg,021e4e4d91203745452503c331cf84b79cf189c49d4fa0405dae105612f939d4,selection_locked
OI-06,1,Open Images V7,validation,282ffaca54c71954,人物;服装;大主体;换色,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/budawood/6347254873,https://s3.amazonaws.com/open-images-dataset/validation/282ffaca54c71954.jpg,6a777d257c6055f16e53af4c4005ddc36caf640ff326dba4d24bb91c5ee2a578,selection_locked
OI-07,1,Open Images V7,validation,f9d2cc52946b9637,猫;毛发;大主体;简单背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/ghayty/14791703,https://s3.amazonaws.com/open-images-dataset/validation/f9d2cc52946b9637.jpg,36f8e3668261cce538133e10aecb3f7afe4714be6500d741f4b04035b1789f5b,selection_locked
OI-08,1,Open Images V7,validation,fb70753a89eeaae2,狗;毛发;浅景深;简单背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/ansik/186711924,https://s3.amazonaws.com/open-images-dataset/validation/fb70753a89eeaae2.jpg,3f5591edf463a14eeee35a03be0ac76177640972ad38360748967b0e35c908de,selection_locked
OI-09,1,Open Images V7,validation,4b10e6b2dd5cf169,牛;马;多对象;遮挡;复杂背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/mdalmuld/6084621345,https://s3.amazonaws.com/open-images-dataset/validation/4b10e6b2dd5cf169.jpg,43496d7e2ee72d0eaafe7b5404d944321c38979a960448e7135d97a1d0272776,selection_locked
OI-10,1,Open Images V7,validation,f6e43b2a482d9a4e,鸟类;多对象;天空;复杂背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/kainkalju/4432577204,https://s3.amazonaws.com/open-images-dataset/validation/f6e43b2a482d9a4e.jpg,704804e6ab309e67ec163103e14c436b0ec6b4cd96e6893567e086c798d34098,selection_locked
OI-11,1,Open Images V7,validation,cf360428e39eff00,鸟类;细边缘;复杂纹理,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/nymphofox/7169821834,https://s3.amazonaws.com/open-images-dataset/validation/cf360428e39eff00.jpg,b0a978dc924371001f29f70a1546bab0efc702b564ef58d0941595270dd46fac,selection_locked
